sq,sq,Albanian
bg,bg,Bulgarian
cs,cs,Czech
nl,nl,Dutch
en-au,en-rAU,English(Australia)
en-ca,en-rCA,English(Canada)
en-gb,en-rGB,English(UK)
en-us,en-rUS,English(US)
fr,fr,French
ka,ka,Georgian
de,de,German
el,el,Greek
he,he,Hebrew
hi,hi,Hindi
is,is,Icelandic
id,id,Indonesian
it,it,Italian
ja,ja,Japanese
ko,ko,Korean
mr,mr,Marathi
nb,nb,Norwegian
pl,pl,Polish
pt-br,pt-rBR,Portuguese(Brazil)
ro,ro,Romanian
ru,ru,Russian
sr,sr,Serbian
sk,sk,Slovak
es-cl,es-rCL,Spanish(Chile)
es,es,Spanish(Spain)
es-ve,es-rVE,Spanish(Venezuela)
sv,sv,Swedish
th,th,Thai
tr,tr,Turkish
